0 0 0.988299 0.152526
3 0 0.843133 -0.537706
6 0 0.530799 -0.847498
9 0 0.382296 -0.92404
12 0 0.309083 -0.951035
15 0 0.269779 -0.962922
18 0 0.24867 -0.968588
21 0 0.23893 -0.971037
24 0 0.237385 -0.971416
27 0 0.242812 -0.970073
30 0 0.255451 -0.966822
33 0 0.277308 -0.960781
36 0 0.313613 -0.949551
39 0 0.376622 -0.926367
42 0 0.497252 -0.867606
45 0 0.748771 -0.662828
48 0 0.996576 0.0826772
51 0 0.677156 0.73584
54 0 0.440453 0.897775
57 0 0.329012 0.944326
60 0 0.270845 0.962623
63 0 0.237309 0.971434
66 0 0.216714 0.976235
69 0 0.203914 0.978989
72 0 0.19653 0.980498
75 0 0.193739 0.981053
78 0 0.195634 0.980677
81 0 0.203035 0.979172
84 0 0.217699 0.976016
87 0 0.242609 0.970124
90 0 0.281772 0.959481
93 0 0.336621 0.94164
96 0 0.455022 0.89048

0 3 0.994278 -0.106826
3 3 0.799992 -0.600011
6 3 0.595237 -0.80355
9 3 0.470399 -0.882454
12 3 0.397807 -0.917469
15 3 0.355486 -0.934682
18 3 0.331815 -0.943344
21 3 0.320747 -0.947165
24 3 0.31916 -0.947701
27 3 0.325698 -0.945474
30 3 0.340418 -0.940274
33 3 0.365054 -0.930986
36 3 0.404016 -0.914752
39 3 0.466692 -0.88442
42 3 0.571953 -0.820286
45 3 0.749769 -0.6617
48 3 0.967137 -0.254256
51 3 0.935328 0.353781
54 3 0.712246 0.70193
57 3 0.55045 0.834868
60 3 0.455518 0.890227
63 3 0.398572 0.917137
66 3 0.363026 0.931779
69 3 0.340705 0.94017
72 3 0.327857 0.944727
75 3 0.323192 0.946333
78 3 0.327029 0.945014
81 3 0.341208 0.939988
84 3 0.369612 0.929186
87 3 0.419741 0.907644
90 3 0.506064 0.862496
93 3 0.654702 0.755887
96 3 0.880641 0.473785

0 6 0.998046 -0.0624897
3 6 0.917772 -0.397107
6 6 0.78926 -0.614059
9 6 0.679143 -0.734006
12 6 0.601515 -0.798862
15 6 0.551439 -0.834215
18 6 0.522115 -0.852875
21 6 0.508498 -0.861063
24 6 0.507414 -0.861702
27 6 0.517196 -0.855867
30 6 0.537535 -0.843242
33 6 0.569624 -0.821905
36 6 0.616679 -0.787215
39 6 0.684322 -0.72918
42 6 0.778909 -0.627137
45 6 0.89602 -0.444013
48 6 0.989126 -0.147073
51 6 0.978648 0.205544
54 6 0.876197 0.481953
57 6 0.762533 0.64695
60 6 0.673971 0.738757
63 6 0.611222 0.791459
66 6 0.567736 0.823211
69 6 0.538395 0.842693
72 6 0.520465 0.853883
75 6 0.513146 0.858302
78 6 0.517154 0.855892
81 6 0.534594 0.845109
84 6 0.56921 0.822192
87 6 0.62671 0.779252
90 6 0.714052 0.700093
93 6 0.832897 0.553428
96 6 0.955086 0.296328

0 9 0.999114 -0.0420809
3 9 0.960195 -0.279332
6 9 0.886207 -0.46329
9 9 0.809375 -0.587293
12 9 0.746783 -0.665067
15 9 0.702666 -0.71152
18 9 0.675877 -0.737015
21 9 0.663996 -0.747736
24 9 0.664806 -0.747016
27 9 0.676691 -0.736267
30 9 0.698724 -0.715391
33 9 0.730725 -0.682672
36 9 0.773247 -0.634105
39 9 0.826978 -0.562234
42 9 0.890375 -0.455228
45 9 0.954009 -0.299779
48 9 0.995483 -0.0949432
51 9 0.991599 0.129354
54 9 0.945279 0.326263
57 9 0.881583 0.472028
60 9 0.82062 0.571474
63 9 0.769788 0.638299
66 9 0.729922 0.68353
69 9 0.70031 0.713839
72 9 0.680585 0.732669
75 9 0.671156 0.741316
78 9 0.673209 0.739453
81 9 0.688589 0.725152
84 9 0.719673 0.694313
87 9 0.768751 0.639548
90 9 0.835856 0.548949
93 9 0.913468 0.40691
96 9 0.979022 0.203753

0 12 0.999546 -0.0301217
3 12 0.979026 -0.203736
6 12 0.936727 -0.35006
9 12 0.887936 -0.459967
12 12 0.844407 -0.535701
15 12 0.811939 -0.583743
18 12 0.792154 -0.610322
21 12 0.784606 -0.619995
24 12 0.78804 -0.615624
27 12 0.800967 -0.598708
30 12 0.821851 -0.569702
33 12 0.849179 -0.528104
36 12 0.881379 -0.472409
39 12 0.916498 -0.400039
42 12 0.951486 -0.307693
45 12 0.981124 -0.193381
48 12 0.998155 -0.0607248
51 12 0.996932 0.0782709
54 12 0.978157 0.20787
57 12 0.948195 0.317689
60 12 0.913998 0.405718
63 12 0.880228 0.474551
66 12 0.849603 0.527423
69 12 0.823964 0.566642
72 12 0.804901 0.593409
75 12 0.794025 0.607885
78 12 0.79294 0.6093
81 12 0.803172 0.595747
84 12 0.825858 0.563879
87 12 0.861013 0.508583
90 12 0.905971 0.423339
